,clusterNo.,x,y
0,2.0,114.04250198262405,22.51758631585486
1,1.0,114.04249225856755,22.518085408284282
2,2.0,114.04254731513012,22.516423299162806
3,1.0,114.04248796049025,22.51941356014013
4,1.0,114.04262602615711,22.518362741348337
5,1.0,114.04251212038693,22.52382403671829
6,2.0,114.04268721814948,22.51588046581614
7,2.0,114.04269696696433,22.516719452789268
8,1.0,114.04264757613178,22.51955987222832
9,1.0,114.04251606224128,22.526960748970595
10,1.0,114.04268498777594,22.519758007332193
11,1.0,114.04250516126415,22.528283006678862
12,2.0,114.04278775725072,22.516996529003684
13,1.0,114.04261941533136,22.525130718079822
14,1.0,114.04261103850439,22.52572637116818
15,1.0,114.04279360173129,22.518649962039362
16,2.0,114.04284960068581,22.516232352025014
17,1.0,114.04266171299022,22.52554386061659
18,1.0,114.04261611755928,22.528005369370135
19,1.0,114.04270211549506,22.52533472674303
20,1.0,114.04271820527109,22.524997747684733
21,1.0,114.04266563747754,22.527750228601317
22,1.0,114.0426214841734,22.529838964569223
23,2.0,114.04288383447809,22.517944735595385
24,1.0,114.04273386509237,22.52574307850865
25,1.0,114.04272347282033,22.526365330004513
26,1.0,114.04275033150296,22.525146330966354
27,1.0,114.04266249520614,22.529596955351234
28,1.0,114.04275540354281,22.527042753898066
29,2.0,114.04299010380372,22.51713929977835
30,1.0,114.04279860827526,22.526162397792728
31,1.0,114.0428341438231,22.524602320181163
32,1.0,114.04284574205545,22.524248129293706
33,1.0,114.04277289618123,22.529370984615742
34,2.0,114.04308177170425,22.51538580177878
35,1.0,114.04286276099883,22.52586457345473
36,2.0,114.04303074837736,22.518233511846898
37,1.0,114.04281293085322,22.52913685852573
38,1.0,114.04288828200995,22.52560909822088
39,1.0,114.0428859218409,22.525738917620888
40,1.0,114.04290027498476,22.525522595129324
41,1.0,114.04290507224417,22.525356361983185
42,1.0,114.04291099166238,22.52545320151119
43,1.0,114.04292996525625,22.525169630218624
44,2.0,114.04312076398857,22.516525185752528
45,1.0,114.04294181821804,22.52499954074546
46,2.0,114.04311504473193,22.51741043384718
47,1.0,114.0429000568591,22.528901894584507
48,1.0,114.0429859535108,22.525799894910982
49,2.0,114.043169113637,22.51778849185357
50,2.0,114.04321692213064,22.515685726436043
51,1.0,114.04315877183679,22.518550882258992
52,2.0,114.04318190651983,22.51787349497172
53,1.0,114.04303952799886,22.52558671384101
54,1.0,114.0429783387745,22.52864470659943
55,1.0,114.04300186010144,22.528292221106035
56,1.0,114.04300893844177,22.528071962456394
57,1.0,114.04307531107214,22.525378148625606
58,1.0,114.04308595566249,22.52545282854557
59,1.0,114.04308235949047,22.52584428497641
60,1.0,114.04310858005424,22.525192413464477
61,1.0,114.04309843399751,22.52575010495477
62,1.0,114.04305127409289,22.527995369606412
63,2.0,114.04330541590957,22.516091609561144
64,1.0,114.0430760520535,22.527851177223653
65,1.0,114.04313673166581,22.52500946731417
66,1.0,114.04327113073236,22.518958984998335
67,1.0,114.04314126949704,22.52594326040609
68,2.0,114.04335821521312,22.51674741809232
69,1.0,114.04319720906189,22.525612210708232
70,1.0,114.04320555449853,22.52576474235309
71,1.0,114.0432368987578,22.525467823331663
72,1.0,114.04324098859801,22.5253878078942
73,1.0,114.04326395207825,22.525206972697884
74,1.0,114.04329214845205,22.525018923644215
75,1.0,114.04325046136125,22.527312204183527
76,1.0,114.04337951707313,22.52137239812521
77,2.0,114.04346011038372,22.51770986708017
78,1.0,114.04328779885681,22.525863421846488
79,2.0,114.04344919140868,22.518423433251144
80,1.0,114.04338329558631,22.521905884548875
81,1.0,114.04324113159527,22.52989900685639
82,1.0,114.04325924921447,22.52967109404851
83,1.0,114.04334955574748,22.525632918478625
84,1.0,114.04344874820781,22.521690779925354
85,1.0,114.04337093136512,22.525487931214254
86,1.0,114.04343608100017,22.522469103318688
87,1.0,114.04338251684099,22.52540282217461
88,2.0,114.04360257448964,22.51549164538393
89,1.0,114.04346859320547,22.522329284581716
90,1.0,114.04339539687608,22.52579021599862
91,1.0,114.04337151883713,22.52692386546322
92,1.0,114.04335627183825,22.527931892131857
93,1.0,114.04341741260143,22.525233163923563
94,1.0,114.04348963037057,22.522645724577956
95,1.0,114.04337593692452,22.528043832127427
96,2.0,114.04360781718233,22.517250816529447
97,1.0,114.04344201311694,22.525043523906145
98,1.0,114.04357268760302,22.519496856957943
99,1.0,114.0434216928736,22.526639341367385
100,1.0,114.04356205824979,22.52243034341358
101,1.0,114.04350371589318,22.525693088225932
102,1.0,114.04350013228458,22.5258879939492
103,1.0,114.04346347354111,22.527753724659032
104,1.0,114.0435108636989,22.525595623921475
105,1.0,114.04352897012923,22.525496883195654
106,1.0,114.04349203183638,22.52740814901135
107,2.0,114.04374093421468,22.51585278890257
108,1.0,114.04353899591509,22.525399220412847
109,1.0,114.04361282700663,22.52257278871231
110,1.0,114.04356444799912,22.52524865659002
111,1.0,114.04354185746168,22.526311203452508
112,1.0,114.04349202176387,22.528699843592356
113,2.0,114.04376128355742,22.51617895362809
114,2.0,114.04372868188328,22.517942139020967
115,1.0,114.04365927095401,22.521638849988292
116,1.0,114.04359659776264,22.52504543081129
117,2.0,114.04375651355858,22.518324146890308
118,1.0,114.04366423525616,22.52276168924527
119,2.0,114.0437720366735,22.517803822462152
120,2.0,114.04380068647023,22.51653187439366
121,1.0,114.04367773257255,22.522435942534933
122,1.0,114.04369318532746,22.522329815331275
123,2.0,114.04385293772343,22.515506901864136
124,2.0,114.04381693276153,22.51753147992842
125,2.0,114.0438461051639,22.516820538108092
126,1.0,114.04365786960662,22.52568056458058
127,1.0,114.04365839155166,22.52591157137723
128,1.0,114.0437409185384,22.522545797367115
129,1.0,114.04368852412613,22.52550373953591
130,1.0,114.04384091011629,22.51868019236459
131,1.0,114.04369841985674,22.525419491806005
132,1.0,114.04372281591712,22.52506337650317
133,1.0,114.04371917011116,22.525275391503566
134,2.0,114.04389593018261,22.517106795655
135,2.0,114.0439560952502,22.515312504252776
136,1.0,114.04381584219409,22.52225816613258
137,1.0,114.04381421475713,22.52267218036447
138,1.0,114.04370888523226,22.52800333558806
139,1.0,114.04387131791498,22.521819431382358
140,1.0,114.04373702203566,22.52813710744377
141,1.0,114.0437917386071,22.526001895647088
142,1.0,114.0437642628714,22.527398273896807
143,2.0,114.04396483599965,22.518180025600348
144,1.0,114.04387929789584,22.52240129410292
145,1.0,114.04380543471802,22.52588239551087
146,1.0,114.04381615850585,22.525703991295497
147,2.0,114.04400757906345,22.516775723910154
148,1.0,114.04379084248862,22.527020453110193
149,1.0,114.04389216361659,22.522524701166848
150,1.0,114.04378266208249,22.52791203775131
151,1.0,114.04384432560488,22.525516021421353
152,1.0,114.04384652863872,22.525425894082478
