,id,parent,name,tag,typecode,biz_type,lng,lat,citycode,adcode,shopinfo,gridcode,navi_poiid,entrance_lng,entrance_lat,business_area,exit_lng,exit_lat,indoor_map,indoor_cpid,indoor_floor,indoor_truefloor,indoor_cmsid,biz_rating,biz_cost
1200252,B000A7OIAM,,北京宝龙物流有限责任公司通西储运中心,,070501,,116.62192148553301,39.896492328663896,10,110112,0,5916657020,J50F002021_318157,,,北苑,,,0,,,,,3.0,
1203786,B0FFGIKCHX,,圆通速递(北京和平里分部顺义区仓库),,070501,,116.613582490487,40.1123892997905,10,110113,0,6016143911,K50F047021_126522,,,仁和,,,0,,,,,1.0,
1203787,B0FFFW3YFH,,北京安和国际物流有限公司仓库,,070501,,116.613647448769,40.1121212781756,10,110113,0,6016143911,K50F047021_126524,,,仁和,,,0,,,,,,
1219293,B0FFGOFRYP,,京东仓库,,070501,,116.62592892434601,39.9700480647137,10,110105,0,5916756011,,,,,,,0,,,,,,
1219390,B0FFGB7E6B,,百世供应链北京朝阳仓,,070501,,116.62700141003401,39.9751326396292,10,110105,0,5916757001,,,,,,,0,,,,,,
1221154,B0FFGWO39L,,京东分拣中心,,070501,,116.63610628471001,40.1066385984166,10,110113,0,6016152121,,,,仁和,,,0,,,,,,
1224394,B0FFG8R9SZ,,顺义伊藤忠仓库,,070501,,116.633651571747,40.219552825552896,10,110113,0,6016256110,,,,,,,0,,,,,,
1242198,B0FFGY8TNW,,中都物流现代商品车发运基地,,070501,,116.64200593009,40.0986013681524,10,110113,0,6016151122,,,,仁和,,,0,,,,,3.2,
1269488,B0FFGBDQIM,,圆通速递,,070501,,116.65076626297501,40.339747718606404,10,110116,0,6016450221,,,,,,,0,,,,,,
1291372,B0FFHV6MOM,,张幸火车站货场,,070501,,116.68024363100099,40.0132575216135,10,110113,0,6016051422,,,,李桥,,,0,,,,,,
1306247,B0FFGK39SY,,张家湾皇木厂铁路货场,,070501,,116.705448799836,39.85601679206,10,110112,0,5916652622,J50F002022_265228,,,张家湾,,,0,,,,,,
1318740,B0FFG8VHTO,,中华书局有限公司库房,,070501,,116.731248388323,39.94203556111111,10,110112,0,5916753802,J50F001022_221221,,,,,,0,,,,,,
1321462,B0FFJKBU32,,圣益博达仓库,,070501,,116.733776290669,39.67606956735521,10,110112,0,5916451900,,,,,,,0,,,,,,
1325440,B0FFIPT4RE,,万链北京仓储配送中心,,070501,,116.753575425958,39.935038987000496,10,110112,0,5916762012,,,,,,,0,,,,,,
1328294,B0FFH5K7Y6,,福德兴仓储(上店路),,070501,,116.767110060125,39.8353839117902,10,110112,0,5916660112,J50F002023_16118,,,,,,0,,,,,,
1336079,B0FFH0IH30,,美的电器物流仓一号库,,070501,,116.79224375155,40.039417253118,10,110113,0,6016064322,,,,,,,0,,,,,,
1364976,B0FFJNQVNR,,壹米滴答(北京分拨中心),,070501,,116.87093855131799,39.7177195593519,10,110112,0,5916476000,,,,,,,0,,,,,,
