,序号,高校,学院,学科、专业,基地/重点学科/实验室/工程中心,级别,教育层次,lon,lat
68,30.0,昆明理工大学,建筑与城乡规划学院,建筑学（建筑历史及理论方向）,云南文化遗产保护实验室,省部级,硕士,102.856572,24.852559
69,31.0,安徽建筑大学,建筑与规划学院,建筑学（建筑史方向）,徽派建筑研究所,省部级,硕士,117.22809,31.74456
70,32.0,北京交通大学,建筑与艺术学院,建筑学（建筑遗产与景观方向）,,,硕士,116.33934,39.950612
71,33.0,吉林建筑大学,建筑与规划学院,建筑学,,,硕士,125.407666,43.79522
72,34.0,南京工业大学,建筑学院,建筑学（建筑历史与理论）,中国传统建筑工匠技艺研究中心,,硕士,118.642381,32.077725
73,35.0,福州大学,建筑与城乡规划学院,建筑学（建筑历史方向、建筑遗产保护方向）,,,硕士,119.19505,26.057266
74,36.0,内蒙古工业大学,建筑学院,建筑学,,,硕士,111.684173,40.847165
75,37.0,苏州科技大学,建筑与城市规划学院,建筑历史与理论专业,,,硕士,120.55703,31.265566
76,,,,城乡历史遗产保护规划专业风景园林遗产保护专业,,,,0.0,0.0
77,38.0,郑州大学,建筑学院,建筑学（建筑文化方向）,,,硕士,113.533269,34.820615
78,39.0,西安交通大学,人居环境与建筑工程学院,建筑学（建筑历史与理论）,地域建筑与文化遗产研究所,,硕士,108.98565,34.250189
79,40.0,长安大学,建筑学院,城乡规划学（历史文化名城保护方向）,,,硕士,108.955053,34.228959
80,,,,建筑学（建筑历史方向）,,,,0.0,0.0
81,41.0,湖南理工学院,土木建筑工程学院,历史建筑保护工程专业,文物建筑保护利用重点科研基地,省部级,本科硕士,0.0,0.0
82,42.0,南阳理工学院,建筑学院,历史建筑保护工程专业,历史建筑保护工程实训室,校级,本科,112.552877,32.967697
83,43.0,苏州大学,建筑学院,历史建筑保护工程专业,,,本科,120.641182,31.302245
84,,,,,,,硕士,0.0,0.0
85,44.0,西南交通大学,建筑与设计学院,建筑学（世界遗产方向）,,,硕士,103.445503,29.57567
86,45.0,山东大学,土建与水利学院,建筑学（建筑历史与遗产保护方向）,,,硕士,117.059475,36.678325
87,46.0,南京林业大学,风景园林学院,风景园林学（风景园林历史与理论方向）,江苏风景名胜资源与世界遗产保护研究所,,硕士,118.816826,32.078682
88,47.0,南昌大学,建筑工程学院,建筑系（建筑历史方向）,,,硕士,115.802686,28.665028
89,48.0,北方工业大学,建筑与艺术学院,建筑学,,,硕士,116.20649,39.929413
90,49.0,中国矿业大学,力学与建筑工程学院,建筑学,,,,117.20002,34.221153
91,50.0,浙江工业大学,力学与建筑工程学院,建筑学,,,硕士,120.164168,30.290749
92,51.0,天津城建大学,建筑学院,建筑学,,,硕士,117.095443,39.094966
93,52.0,福建工程学院,建筑与城乡规划学院,历史建筑保护工程专业系,福建传统村落与历史建筑研究中心,省部 级,本科,119.194223,26.038543
94,53.0,山西建筑职业技术学院,建筑与艺术系,古建筑工程技术系,,,专科,112.581964,37.808737
95,,,,,,,,0.0,0.0
96,54.0,内蒙古建筑职业技术学院,建筑与规划学院,古建筑工程技术系,,,专科,111.635155,40.873447
97,55.0,江苏建筑职业技术学院,建筑装饰学院,古建筑工程技术系,,,专科,0.0,0.0
98,56.0,河南建筑职业技术学院,建筑学院,古建筑工程技术系,,,专科,113.523795,34.711557
99,57.0,廊坊师范学院,建筑工程学院,历史建筑保护工程系,,,专科,116.67006,39.524921
100,58.0,山东城市建设职业学院,建筑与城市规划系,古建筑工程技术,,,专科,117.271598,36.640324
101,59.0,北京交通运输职业学院,,中国古建筑,,,专科,116.662283,39.862457
102,60.0,黑龙江建筑职业技术学院,建筑工程技术系,古建筑工程技术,,,专科,126.505579,45.872285
103,61.0,湖北城市建设职业技术学院,建筑设计学院,古建筑工程技术,,,专科,114.436848,30.402455
104,62.0,江西建设职业技术学院,建筑系,古建筑工程技术,,,专科,115.881455,28.582821
105,63.0,重庆艺术工程职业学院,建筑工程学院,古建筑设计,,,专科,106.673302,29.527509
106,64.0,北京市房地产职工大学,,中国古建筑工程,中国古建实训基地,省部级,专科,116.411426,39.85925
107,65.0,徐州工程学院,,古建筑工程技术,,,专科,117.207931,34.216056
108,,,,,,,,0.0,0.0
